id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,81,100,4439,53,8.83,8.28,35,5.83,2.93,78,13.0,12.62,0.73,0.72,0.55,0.55,1.06,229.07
1,78,106,5435,53,8.83,10.03,29,4.83,1.72,72,12.0,12.41,0.66,0.63,0.44,0.42,1.98,180.11
2,67,74,3401,44,7.33,7.34,28,4.67,1.97,67,11.17,11.0,0.65,0.65,0.49,0.49,0.0,232.44
3,82,145,8291,57,9.5,8.17,33,5.5,1.97,82,13.67,9.16,0.36,0.3,0.49,0.47,19.54,210.45
4,90,112,5080,58,9.67,11.96,33,5.5,1.87,87,14.5,14.99,0.56,0.53,0.46,0.44,2.15,219.58
5,84,130,6484,57,9.5,9.97,32,5.33,2.07,83,13.83,13.27,0.56,0.55,0.43,0.42,3.35,208.1
6,81,123,5792,55,9.17,11.7,30,5.0,1.67,79,13.17,12.42,0.57,0.51,0.38,0.36,3.28,218.78
7,74,106,5474,52,8.67,9.18,36,6.0,2.45,71,11.83,12.22,0.68,0.64,0.52,0.49,3.5,226.88
8,81,96,5065,56,9.33,11.71,30,5.0,1.55,79,13.17,15.14,0.47,0.37,0.52,0.44,0.59,205.24
9,98,141,6844,46,9.2,11.1,23,4.6,1.14,93,18.6,17.01,0.5,0.47,0.55,0.56,5.46,221.11
10,140,205,11197,75,12.5,14.07,41,6.83,1.72,131,21.83,18.64,0.24,0.17,0.44,0.44,23.64,203.02
11,111,140,6912,63,10.5,10.07,41,6.83,3.66,104,17.33,15.86,0.58,0.53,0.49,0.45,1.29,214.28
12,106,138,7150,61,10.17,10.4,38,6.33,2.25,104,17.33,15.71,0.54,0.5,0.51,0.52,3.68,225.42
13,83,123,5663,61,10.17,9.72,41,6.83,3.06,80,13.33,11.64,0.67,0.64,0.52,0.54,1.13,208.42
14,75,107,5096,50,8.33,11.62,27,4.5,1.87,74,12.33,15.97,0.66,0.62,0.57,0.58,3.03,200.96
15,79,107,5476,59,9.83,10.57,36,6.0,2.37,77,12.83,12.35,0.57,0.54,0.43,0.41,8.56,208.68
16,69,115,6416,49,12.25,13.23,22,5.5,1.29,68,17.0,14.85,0.29,0.24,0.41,0.38,15.0,221.84
17,85,114,5054,48,9.6,11.08,27,5.4,2.7,79,15.8,14.22,0.52,0.51,0.56,0.55,2.3,198.5
18,65,88,4548,43,8.6,9.34,22,4.4,1.82,64,12.8,10.66,0.52,0.5,0.57,0.56,2.2,211.34
19,67,94,4581,43,7.17,7.99,27,4.5,1.76,67,11.17,10.05,0.58,0.54,0.39,0.38,2.17,219.16
20,79,119,6718,50,8.33,9.73,27,4.5,1.38,78,13.0,14.67,0.61,0.59,0.54,0.51,4.81,198.12
21,73,98,5013,47,7.83,8.45,30,5.0,1.55,70,11.67,10.84,0.57,0.58,0.58,0.57,3.36,229.4
22,74,92,4008,47,9.4,9.86,24,4.8,0.84,72,14.4,12.18,0.57,0.58,0.51,0.51,3.36,217.92
23,77,100,4513,46,9.2,10.18,25,5.0,1.87,76,15.2,14.32,0.52,0.52,0.59,0.59,4.54,212.94
24,77,90,3996,46,7.67,8.62,28,4.67,1.63,71,11.83,12.61,0.64,0.61,0.46,0.45,0.99,244.76
25,70,113,5887,46,9.2,9.83,27,5.4,2.88,66,13.2,12.68,0.5,0.5,0.42,0.41,22.51,230.77
26,85,109,4764,47,9.4,7.77,32,6.4,1.52,80,16.0,13.55,0.64,0.6,0.5,0.5,0.79,222.95
27,75,96,4080,43,7.17,7.78,25,4.17,0.75,73,12.17,10.65,0.57,0.56,0.47,0.47,2.49,232.12
28,66,87,4204,35,5.83,6.46,22,3.67,1.03,62,10.33,9.91,0.53,0.53,0.67,0.67,5.98,222.04
29,49,63,3048,28,7.0,9.38,10,2.5,1.0,48,12.0,11.6,0.55,0.54,0.71,0.68,2.9,247.14
30,63,71,3382,41,6.83,6.59,24,4.0,1.41,59,9.83,8.01,0.56,0.5,0.61,0.59,1.24,232.65
31,49,57,2680,30,7.5,7.19,14,3.5,1.73,48,12.0,7.35,0.32,0.3,0.55,0.52,1.89,216.13
32,46,58,2768,29,4.83,3.06,21,3.5,1.87,46,7.67,7.26,0.6,0.57,0.64,0.65,2.1,234.83
33,52,86,5005,35,5.83,6.65,18,3.0,1.26,51,8.5,8.17,0.44,0.41,0.59,0.58,10.52,209.93
34,62,82,3852,36,6.0,7.43,20,3.33,1.03,62,10.33,9.07,0.47,0.46,0.45,0.47,0.17,215.15
35,41,55,2586,32,5.33,5.16,19,3.17,2.04,41,6.83,5.85,0.62,0.61,0.6,0.59,2.32,220.09
36,50,82,4552,31,6.2,6.26,16,3.2,0.84,50,10.0,9.77,0.64,0.63,0.47,0.44,3.59,210.23
37,54,76,3414,35,5.83,3.87,27,4.5,1.76,51,8.5,6.06,0.58,0.56,0.5,0.52,0.73,199.17
38,61,83,4136,45,7.5,9.18,22,3.67,1.37,60,10.0,10.18,0.55,0.52,0.62,0.62,1.65,227.98
39,45,88,5515,35,5.83,6.55,20,3.33,1.21,45,7.5,6.22,0.34,0.32,0.34,0.33,39.32,209.26
40,51,82,4125,32,8.0,4.4,22,5.5,1.73,51,12.75,7.27,0.32,0.26,0.62,0.62,5.12,224.34
41,63,102,5613,43,8.6,6.27,24,4.8,1.92,62,12.4,9.5,0.43,0.38,0.55,0.54,4.73,212.82
42,69,121,6708,50,8.33,6.62,33,5.5,1.87,68,11.33,8.82,0.54,0.49,0.38,0.37,13.76,214.74
43,53,76,3613,38,7.6,8.99,18,3.6,1.82,53,10.6,11.84,0.63,0.6,0.55,0.56,3.24,235.63
44,58,67,2960,40,6.67,7.06,22,3.67,0.82,55,9.17,8.64,0.66,0.67,0.47,0.47,0.22,238.72
45,49,62,2832,31,6.2,6.22,19,3.8,1.92,48,9.6,8.02,0.58,0.58,0.55,0.54,0.52,240.26
46,48,62,2792,35,5.83,6.52,21,3.5,1.22,47,7.83,7.0,0.59,0.58,0.52,0.52,4.43,243.15
47,54,68,3467,42,7.0,8.02,26,4.33,1.97,54,9.0,9.36,0.47,0.45,0.48,0.46,1.61,222.26
48,62,80,3876,36,6.0,6.54,20,3.33,1.21,61,10.17,8.73,0.54,0.44,0.44,0.42,0.59,208.76
49,63,93,4400,42,7.0,6.9,23,3.83,1.17,63,10.5,8.07,0.5,0.48,0.55,0.55,4.42,223.14
50,48,67,3199,28,5.6,5.73,16,3.2,1.92,48,9.6,10.53,0.46,0.45,0.63,0.6,2.81,228.78
51,53,70,3264,35,5.83,6.08,21,3.5,1.05,52,8.67,7.53,0.65,0.64,0.58,0.6,1.13,241.31
52,53,73,3336,27,5.4,4.88,17,3.4,1.14,48,9.6,7.27,0.51,0.51,0.48,0.48,3.21,212.28
53,49,57,3084,31,6.2,6.76,15,3.0,1.87,48,9.6,8.71,0.53,0.52,0.56,0.57,0.9,214.66
54,74,94,4957,43,7.17,6.05,30,5.0,1.79,73,12.17,9.5,0.68,0.67,0.6,0.61,1.68,196.37
55,55,82,4476,44,8.8,12.44,17,3.4,0.55,55,11.0,13.73,0.62,0.61,0.44,0.42,6.17,227.58
56,45,56,2712,34,5.67,5.13,23,3.83,0.75,45,7.5,6.83,0.7,0.69,0.49,0.47,0.71,217.52
57,52,75,3530,30,5.0,4.56,18,3.0,1.67,49,8.17,6.77,0.46,0.47,0.56,0.53,4.97,220.94
58,53,105,5356,33,8.25,8.54,11,2.75,1.5,51,12.75,10.37,0.29,0.29,0.5,0.49,27.56,221.92
59,58,82,3992,33,5.5,4.85,19,3.17,1.33,56,9.33,8.48,0.56,0.54,0.55,0.55,5.39,218.97
60,62,73,3493,39,7.8,8.01,22,4.4,1.14,62,12.4,11.01,0.56,0.56,0.45,0.44,0.26,209.78
61,67,86,3914,44,7.33,9.29,22,3.67,1.97,62,10.33,10.73,0.55,0.56,0.57,0.55,3.95,231.22
62,77,111,5346,41,8.2,6.61,25,5.0,1.87,74,14.8,12.81,0.54,0.53,0.41,0.38,3.43,240.97
63,53,67,2868,35,5.83,5.15,22,3.67,1.51,52,8.67,6.28,0.68,0.68,0.62,0.61,0.03,226.26
64,47,55,2414,28,4.67,5.16,15,2.5,1.05,47,7.83,6.59,0.53,0.52,0.61,0.61,1.72,236.9
65,72,108,6189,45,7.5,4.76,31,5.17,1.17,72,12.0,8.44,0.52,0.47,0.44,0.45,8.73,212.88
66,74,111,5400,45,6.43,3.6,36,5.14,1.07,72,10.29,6.82,0.55,0.54,0.47,0.46,6.92,221.05
67,64,102,6070,33,5.5,6.66,16,2.67,1.21,63,10.5,9.79,0.31,0.26,0.51,0.52,12.02,186.5
68,55,66,3096,34,5.67,6.25,19,3.17,2.04,54,9.0,9.12,0.56,0.54,0.64,0.66,0.4,231.0
69,61,77,3536,45,7.5,8.12,25,4.17,0.75,61,10.17,11.84,0.63,0.63,0.6,0.59,4.26,224.11
70,45,58,2620,29,4.83,5.12,18,3.0,1.1,45,7.5,7.4,0.65,0.66,0.64,0.64,1.76,222.66
71,61,82,3843,48,8.0,9.94,28,4.67,2.25,60,10.0,10.47,0.73,0.72,0.59,0.6,1.44,234.57
72,51,78,4608,31,6.2,8.29,12,2.4,0.55,49,9.8,10.45,0.46,0.44,0.54,0.52,20.41,189.15
73,53,70,3372,40,6.67,7.53,20,3.33,0.82,51,8.5,8.94,0.61,0.61,0.59,0.6,2.61,227.29
74,55,70,3162,35,5.83,6.62,17,2.83,1.33,52,8.67,8.43,0.57,0.57,0.69,0.68,2.33,229.26
75,58,77,3556,45,9.0,11.0,23,4.6,2.7,57,11.4,10.97,0.57,0.5,0.5,0.49,3.43,204.55
76,68,115,6326,42,8.4,8.38,21,4.2,1.48,68,13.6,12.34,0.47,0.44,0.54,0.51,22.01,228.33
77,70,90,4089,48,8.0,10.43,23,3.83,1.33,70,11.67,12.99,0.58,0.57,0.54,0.54,1.04,248.42
78,69,96,4144,45,7.5,8.67,22,3.67,1.51,68,11.33,9.0,0.52,0.53,0.62,0.6,1.59,210.94
79,54,68,3332,36,6.0,5.93,18,3.0,1.26,54,9.0,7.51,0.5,0.48,0.6,0.62,0.41,209.76
80,66,95,5324,45,7.5,6.77,26,4.33,1.63,66,11.0,8.79,0.46,0.39,0.49,0.49,6.87,218.52
