id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,163,4634088,4661283069,38,12.67,11.59,30,10.0,4.0,57,19.0,19.16,0.64,0.63,0.42,0.52,12.62,169.17
1,173,11275,2075502,37,12.33,12.74,31,10.33,7.51,51,17.0,19.05,0.65,0.64,0.45,0.45,7.49,175.27
2,176,1688,416273,35,11.67,8.08,36,12.0,6.24,57,19.0,18.25,0.91,0.78,0.39,0.25,6.82,155.65
3,160,1502,250136,28,9.33,10.12,21,7.0,5.29,48,16.0,20.81,0.85,0.91,0.36,0.34,8.55,119.72
4,202,2145,440212,38,12.67,13.28,32,10.67,8.96,67,22.33,29.16,0.91,0.84,0.43,0.36,7.57,168.41
5,205,6532,1612520,44,14.67,19.35,23,7.67,7.23,77,25.67,38.4,0.72,0.75,0.45,0.42,7.13,142.6
6,176,3590,2037262,35,11.67,14.36,26,8.67,9.29,59,19.67,28.11,0.98,0.99,0.55,0.64,4.72,102.29
7,180,5360,4628883,31,10.33,11.02,27,9.0,6.56,56,18.67,22.94,0.82,0.87,0.49,0.56,6.47,156.34
8,188,1958,668985,37,12.33,7.57,36,12.0,4.58,62,20.67,19.4,0.84,0.74,0.32,0.24,6.39,177.05
9,183,6370,1318361,32,16.0,15.56,20,10.0,7.07,58,29.0,33.94,0.57,0.57,0.46,0.48,9.32,143.66
10,190,11441,11184159,34,17.0,14.14,21,10.5,4.95,56,28.0,29.7,0.8,0.76,0.38,0.3,11.14,151.77
11,197,6848,4989770,41,13.67,14.22,33,11.0,9.64,73,24.33,32.65,0.94,0.94,0.45,0.55,7.01,165.67
12,290,28133,31335638,47,15.67,19.35,36,12.0,10.44,114,38.0,54.56,0.74,0.69,0.19,0.15,7.67,152.09
13,315,15733,12098796,51,25.5,31.82,21,10.5,10.61,138,69.0,93.34,0.86,0.8,0.32,0.12,8.96,100.0
14,385,30908,21173243,58,19.33,24.91,27,9.0,5.57,165,55.0,84.89,0.94,0.98,0.44,0.36,7.64,166.26
15,382,48862,19067592,48,16.0,19.16,29,9.67,7.37,161,53.67,77.53,0.65,0.63,0.57,0.38,6.36,144.61
16,381,36865,36204199,51,17.0,19.92,25,8.33,4.16,136,45.33,65.58,0.71,0.62,0.41,0.29,4.75,150.45
17,394,48316,41678058,54,18.0,25.16,32,10.67,10.97,162,54.0,85.77,0.91,0.91,0.59,0.49,5.62,200.98
18,511,10396,5334098,76,25.33,32.62,33,11.0,7.81,241,80.33,127.88,0.92,0.95,0.36,0.28,7.13,175.5
19,492,24462,20436567,70,23.33,30.99,33,11.0,9.85,234,78.0,125.6,0.98,0.99,0.37,0.31,7.55,171.36
20,372,13194,6613646,57,19.0,26.85,28,9.33,10.12,148,49.33,79.39,0.91,0.92,0.31,0.18,9.66,165.57
21,418,318356,256922716,51,17.0,24.25,28,9.33,10.12,186,62.0,101.33,0.88,0.86,0.58,0.41,9.78,200.61
22,349,23664,23951045,45,15.0,19.97,29,9.67,10.79,148,49.33,79.4,0.89,0.91,0.62,0.54,6.57,177.48
23,303,21753,17827330,44,22.0,24.04,22,11.0,7.07,148,74.0,96.17,0.88,0.96,0.36,0.21,11.94,144.38
24,282,8510,6206385,47,15.67,20.31,30,10.0,10.58,131,43.67,68.73,0.98,0.99,0.47,0.35,6.35,180.06
25,361,104468,110199421,51,17.0,24.27,28,9.33,11.02,182,60.67,99.89,0.82,0.81,0.39,0.29,6.3,200.68
26,607,62010,52257991,70,23.33,34.36,32,10.67,10.69,292,97.33,160.79,0.9,0.88,0.33,0.23,7.17,177.74
27,609,42747,42322965,66,33.0,42.43,31,15.5,17.68,284,142.0,196.58,0.96,0.96,0.34,0.24,17.62,177.53
28,363,79265,71482945,52,17.33,22.23,34,11.33,11.85,163,54.33,86.32,0.96,0.96,0.44,0.34,8.17,172.79
30,636,126600,149502822,65,21.67,29.74,37,12.33,11.85,298,99.33,162.52,0.94,0.96,0.28,0.26,6.94,189.25
31,559,42012,36717962,63,31.5,40.31,20,10.0,9.9,276,138.0,190.92,0.89,0.86,0.4,0.28,13.65,143.03
32,479,44211,50019317,60,20.0,30.32,24,8.0,9.54,205,68.33,114.03,0.99,1.0,0.35,0.3,9.86,142.39
33,534,28400,17696069,57,19.0,27.71,25,8.33,9.24,243,81.0,135.1,0.93,0.91,0.35,0.19,8.23,121.19
34,384,47749,40190542,52,26.0,31.11,24,12.0,11.31,192,96.0,130.11,0.81,0.82,0.4,0.36,14.46,159.48
35,408,15293,13095859,58,19.33,28.29,29,9.67,11.55,199,66.33,109.7,0.97,1.0,0.31,0.24,9.95,166.68
36,373,28820,26562021,56,28.0,35.36,28,14.0,15.56,181,90.5,123.74,0.98,1.0,0.23,0.12,15.18,174.62
37,555,30832,19402232,117,39.0,59.81,94,31.33,46.54,312,104.0,172.36,0.89,0.92,0.57,0.47,8.96,174.94
38,454,39150,29789188,72,24.0,35.51,47,15.67,19.4,235,78.33,127.89,0.95,0.99,0.38,0.3,11.54,181.76
39,458,30242,30435504,80,26.67,41.86,47,15.67,22.81,255,85.0,142.9,0.87,0.9,0.24,0.19,11.5,184.22
40,446,167792,25433295,80,26.67,39.27,63,21.0,29.46,242,80.67,132.79,0.9,0.72,0.62,0.34,11.83,170.59
41,521,14382,9145928,82,41.0,55.15,43,21.5,27.58,255,127.5,177.48,0.96,0.98,0.34,0.22,15.42,145.76
42,586,28062,20601764,69,23.0,35.54,41,13.67,19.4,286,95.33,160.8,0.87,0.83,0.62,0.54,8.71,185.84
43,692,130745,139899186,99,33.0,46.78,59,19.67,22.81,345,115.0,186.2,0.83,0.72,0.46,0.34,8.71,152.74
44,550,21738,20324325,84,42.0,57.98,49,24.5,33.23,266,133.0,186.68,0.98,1.0,0.62,0.52,17.01,177.04
45,414,60563,54161328,77,25.67,36.67,45,15.0,18.19,204,68.0,109.99,0.95,0.86,0.43,0.31,13.04,174.46
46,449,18539,11882802,77,25.67,36.69,67,22.33,29.16,225,75.0,120.38,0.95,0.94,0.43,0.31,11.4,194.15
47,356,62300,13769682,67,22.33,35.22,39,13.0,19.05,200,66.67,112.01,0.99,0.97,0.61,0.55,11.03,152.11
48,452,19063,12680841,81,27.0,41.58,54,18.0,25.16,231,77.0,127.31,0.95,0.92,0.44,0.44,11.85,146.3
49,470,37777,16564570,82,27.33,41.28,51,17.0,23.39,253,84.33,140.01,0.79,0.61,0.53,0.39,12.29,180.95
50,434,177527,204093021,71,35.5,45.96,42,21.0,24.04,228,114.0,154.15,0.78,0.7,0.31,0.26,13.07,154.7
51,454,37529,26612883,81,27.0,43.3,50,16.67,25.4,235,78.33,132.21,0.68,0.79,0.56,0.45,8.74,131.72
52,517,28026,22857419,77,38.5,50.2,36,18.0,21.21,264,132.0,182.43,0.74,0.78,0.34,0.2,16.56,107.24
53,504,49198,49091350,89,29.67,42.74,56,18.67,23.69,230,76.67,123.27,0.53,0.46,0.35,0.3,10.07,140.97
54,458,310615,263716525,73,24.33,39.55,40,13.33,20.5,225,75.0,127.31,0.99,0.99,0.39,0.28,9.69,113.68
55,607,21733,15793791,101,50.5,65.76,53,26.5,31.82,304,152.0,209.3,0.97,0.99,0.43,0.28,11.72,154.28
56,437,18853,13992115,79,26.33,38.7,41,13.67,16.77,218,72.67,118.94,0.97,0.98,0.38,0.27,8.98,157.03
57,481,61187,63832360,81,27.0,41.57,42,14.0,18.19,249,83.0,137.7,0.96,0.8,0.29,0.17,10.35,145.1
58,559,17596,7481583,81,27.0,42.44,49,16.33,23.97,263,87.67,147.51,0.98,0.99,0.56,0.47,11.43,181.17
59,440,23879,14730710,60,20.0,30.32,33,11.0,14.73,197,65.67,109.41,0.89,0.93,0.64,0.53,9.19,157.11
60,478,13976,9492626,73,36.5,48.79,38,19.0,24.04,209,104.5,144.96,0.7,0.6,0.42,0.34,14.9,138.62
61,438,118759,141102993,63,31.5,41.72,32,16.0,18.38,197,98.5,135.06,0.99,1.0,0.25,0.17,20.12,172.34
