id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,659,48133,42968290,83,16.6,15.26,65,13.0,13.49,275,55.0,71.33,0.46,0.42,0.5,0.52,13.35,151.01
1,602,19772,9281649,79,19.75,19.84,56,14.0,17.57,240,60.0,69.01,0.63,0.63,0.48,0.4,8.74,162.73
2,556,47084,43588490,64,21.33,16.56,50,16.67,17.79,241,80.33,75.59,0.33,0.31,0.56,0.48,13.1,160.42
3,530,10314,7819767,74,18.5,18.3,47,11.75,13.57,226,56.5,68.65,0.56,0.55,0.41,0.44,7.33,148.23
4,866,67653,60724866,104,26.0,28.37,52,13.0,14.72,389,97.25,125.05,0.44,0.42,0.5,0.45,10.91,134.25
5,677,9091,3085405,79,19.75,17.0,56,14.0,15.38,284,71.0,72.35,0.53,0.52,0.45,0.44,8.88,157.95
6,821,14714,7904469,97,19.4,21.73,57,11.4,13.89,363,72.6,95.59,0.61,0.61,0.38,0.39,15.13,126.95
7,774,15366,9434581,84,16.8,20.91,50,10.0,13.49,312,62.4,82.98,0.62,0.62,0.56,0.57,7.6,159.55
8,879,67695,63268621,91,22.75,21.59,49,12.25,11.9,328,82.0,94.05,0.53,0.52,0.43,0.53,9.8,151.81
9,1047,20565,10498933,94,18.8,22.98,61,12.2,16.69,367,73.4,101.5,0.61,0.6,0.54,0.57,5.8,162.83
10,1127,39222,32590445,89,17.8,18.43,56,11.2,12.58,331,66.2,93.81,0.62,0.61,0.54,0.52,6.07,130.62
11,1391,40652,21667486,113,22.6,26.08,68,13.6,17.16,387,77.4,114.95,0.65,0.64,0.39,0.37,7.13,145.56
12,2121,116501,100392641,121,20.17,28.37,66,11.0,13.73,556,92.67,175.95,0.7,0.69,0.45,0.58,2.5,146.29
13,2132,220658,200968554,106,35.33,30.73,57,19.0,19.08,451,150.33,185.01,0.42,0.37,0.39,0.39,5.6,146.89
14,2366,226763,237656473,122,30.5,38.68,64,16.0,21.37,542,135.5,204.3,0.55,0.55,0.39,0.4,7.32,159.77
15,2565,218317,219662769,112,28.0,33.22,47,11.75,10.24,616,154.0,242.58,0.55,0.54,0.45,0.54,5.43,143.86
16,2513,153476,139532355,112,28.0,31.94,52,13.0,11.69,599,149.75,240.04,0.57,0.53,0.48,0.57,5.24,132.34
17,2936,460093,463797484,128,32.0,44.81,44,11.0,15.36,730,182.5,311.5,0.53,0.53,0.45,0.5,5.33,139.28
18,2937,175596,159663145,133,33.25,48.1,53,13.25,20.52,704,176.0,292.76,0.5,0.5,0.58,0.56,8.77,166.74
19,2887,276123,299393036,123,41.0,51.97,41,13.67,19.35,752,250.67,367.69,0.36,0.35,0.34,0.27,5.48,134.5
20,2679,137021,126333875,133,33.25,39.28,50,12.5,9.98,720,180.0,290.8,0.54,0.52,0.56,0.58,4.91,133.67
21,2912,550299,643480086,123,30.75,42.58,45,11.25,13.89,741,185.25,317.76,0.39,0.35,0.54,0.6,4.09,112.12
22,2653,430066,489173465,135,22.5,34.59,63,10.5,12.37,741,123.5,258.66,0.69,0.73,0.52,0.57,2.59,103.18
23,2243,155325,148557954,117,29.25,35.48,50,12.5,15.46,645,161.25,262.52,0.52,0.51,0.36,0.36,7.7,140.14
24,2174,142742,150920304,128,25.6,36.54,51,10.2,15.56,669,133.8,249.75,0.6,0.6,0.66,0.58,10.12,145.34
25,1811,206782,200367299,116,29.0,37.53,49,12.25,13.05,524,131.0,207.95,0.58,0.61,0.52,0.55,5.24,145.12
26,1915,78203,54840483,132,26.4,37.43,56,11.2,12.91,625,125.0,231.46,0.66,0.64,0.57,0.54,5.3,132.25
27,1501,368451,429349061,119,23.8,34.11,53,10.6,16.5,513,102.6,180.83,0.43,0.43,0.65,0.61,5.39,152.93
28,1558,268051,196615435,122,24.4,37.55,45,9.0,11.77,547,109.4,198.13,0.4,0.45,0.39,0.38,6.91,151.44
29,1330,107506,97208270,112,28.0,33.89,52,13.0,14.07,479,119.75,187.75,0.54,0.55,0.49,0.44,4.82,128.1
30,1463,129055,128774724,120,30.0,37.34,52,13.0,14.09,547,136.75,219.52,0.53,0.52,0.51,0.45,9.0,140.28
31,1349,263714,310940044,115,28.75,39.39,41,10.25,14.52,540,135.0,216.04,0.5,0.52,0.39,0.3,9.04,141.78
32,1195,59434,55445960,115,23.0,33.59,52,10.4,14.93,440,88.0,157.34,0.71,0.72,0.49,0.42,6.67,142.19
33,1132,161626,185777359,107,17.83,27.99,43,7.17,9.37,471,78.5,156.05,0.63,0.62,0.6,0.58,11.17,118.63
34,1144,68783,67003890,116,29.0,39.51,45,11.25,13.23,461,115.25,184.34,0.54,0.54,0.36,0.28,7.55,138.78
35,1259,112961,84962500,117,23.4,34.64,40,8.0,10.63,521,104.2,196.23,0.56,0.53,0.38,0.39,7.71,100.38
36,1193,77418,70774055,121,30.25,43.12,43,10.75,15.52,544,136.0,233.59,0.57,0.57,0.54,0.56,10.1,143.02
37,1187,89654,83896780,103,25.75,31.17,37,9.25,9.39,479,119.75,186.56,0.54,0.54,0.52,0.52,12.2,127.94
38,1365,409435,401439501,118,29.5,41.2,45,11.25,13.89,564,141.0,238.08,0.64,0.71,0.37,0.17,31.0,146.25
39,1185,73114,64156731,116,29.0,37.29,38,9.5,9.71,508,127.0,212.11,0.52,0.52,0.46,0.34,8.35,137.1
40,1278,69577,60499413,106,21.2,34.02,49,9.8,12.6,546,109.2,209.86,0.72,0.72,0.51,0.49,9.0,122.61
41,1230,128527,125829498,114,28.5,37.14,49,12.25,13.84,501,125.25,205.48,0.69,0.7,0.48,0.52,7.01,122.25
