id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,170,32323,9187190,37,9.25,8.77,29,7.25,3.77,46,11.5,11.85,0.74,0.73,0.38,0.4,2.62,204.29
1,189,5248,420799,35,8.75,7.54,26,6.5,3.11,44,11.0,12.03,0.76,0.79,0.48,0.47,2.5,174.68
2,167,4195,337692,31,7.75,6.65,22,5.5,3.0,37,9.25,9.5,0.73,0.76,0.48,0.47,1.27,197.66
3,184,2751,262310,34,8.5,9.71,28,7.0,4.97,44,11.0,12.78,0.78,0.84,0.42,0.4,2.85,190.97
4,184,2900,404830,26,6.5,8.43,24,6.0,6.88,45,11.25,17.25,0.77,0.78,0.67,0.64,1.29,188.01
5,181,4972,523366,36,9.0,8.12,26,6.5,3.32,48,12.0,14.07,0.72,0.73,0.42,0.42,18.93,142.99
6,197,10768,2786988,33,8.25,7.59,23,5.75,3.3,45,11.25,13.4,0.76,0.76,0.41,0.45,2.79,176.21
7,184,1936,431128,33,11.0,7.81,29,9.67,2.08,49,16.33,15.31,0.8,0.91,0.6,0.6,7.16,171.04
8,190,7482,671626,34,11.33,11.37,23,7.67,5.13,43,14.33,15.7,0.65,0.67,0.48,0.46,2.96,159.6
9,165,471,69957,26,13.0,11.31,20,10.0,4.24,39,19.5,17.68,0.8,0.88,0.5,0.39,2.17,132.86
10,175,18841,3786080,31,10.33,9.29,22,7.33,3.51,50,16.67,19.4,0.68,0.7,0.44,0.48,5.92,163.67
11,208,27513,5918332,38,9.5,9.11,28,7.0,4.24,53,13.25,16.56,0.66,0.62,0.36,0.35,3.05,165.49
12,182,10456,784069,28,7.0,6.88,24,6.0,3.16,41,10.25,11.35,0.76,0.8,0.43,0.44,4.7,152.07
13,165,11341,1335189,33,8.25,9.91,26,6.5,5.26,46,11.5,15.09,0.67,0.58,0.41,0.33,3.24,181.83
14,172,5160,412066,27,13.5,13.44,16,8.0,4.24,35,17.5,17.68,0.48,0.54,0.48,0.44,4.71,142.02
15,160,5695,471270,28,7.0,8.16,22,5.5,4.65,37,9.25,11.95,0.76,0.77,0.54,0.53,2.27,194.98
16,154,5025,380925,31,7.75,6.7,24,6.0,3.56,38,9.5,9.47,0.76,0.77,0.47,0.45,1.2,156.08
17,184,4590,580657,35,8.75,10.84,25,6.25,5.19,44,11.0,14.67,0.68,0.7,0.44,0.45,1.78,192.1
18,235,3659,2217451,44,11.0,12.36,30,7.5,4.36,98,24.5,36.52,0.92,0.92,0.41,0.34,2.9,190.96
19,188,3100,770562,38,9.5,10.41,22,5.5,1.91,58,14.5,19.02,0.79,0.88,0.42,0.39,6.86,179.92
20,184,8258,3688226,50,16.67,20.23,26,8.67,4.73,85,28.33,33.55,0.61,0.72,0.52,0.36,9.91,177.29
21,237,19839,13040470,61,15.25,19.24,30,7.5,4.51,110,27.5,43.05,0.8,0.87,0.25,0.18,5.41,157.37
22,165,1759,881408,42,14.0,17.35,19,6.33,4.16,62,20.67,28.88,0.88,0.85,0.46,0.4,10.9,136.74
23,156,2219,1704330,37,12.33,12.74,22,7.33,3.51,58,19.33,24.01,0.93,0.97,0.5,0.41,9.69,154.81
24,151,3361,1673185,36,12.0,17.32,13,4.33,4.04,74,24.67,39.26,0.79,0.75,0.46,0.37,12.85,163.82
25,142,3357,1290915,36,9.0,10.03,27,6.75,3.86,55,13.75,17.58,0.84,0.98,0.43,0.37,1.93,205.99
26,175,56056,16780994,37,9.25,14.5,16,4.0,4.0,67,16.75,29.5,0.76,0.76,0.44,0.47,6.15,205.61
27,111,4750,353462,24,12.0,11.31,13,6.5,3.54,44,22.0,25.46,0.55,0.64,0.54,0.57,11.83,162.8
28,121,2806,491468,26,13.0,15.56,13,6.5,6.36,44,22.0,28.28,0.58,0.62,0.44,0.37,10.58,163.08
29,142,7548,1076865,37,12.33,11.02,25,8.33,3.21,57,19.0,21.66,0.67,0.76,0.37,0.32,8.59,162.44
30,132,52287,18006518,32,10.67,10.79,22,7.33,5.13,49,16.33,20.55,0.67,0.67,0.38,0.43,5.47,190.16
31,134,6707,1388264,26,6.5,10.34,16,4.0,5.35,54,13.5,24.34,0.8,0.94,0.47,0.5,3.88,205.92
32,136,125855,60060541,36,12.0,13.86,16,5.33,2.52,62,20.67,28.01,0.5,0.47,0.36,0.4,8.74,128.55
33,124,8065,4182111,35,11.67,16.77,16,5.33,5.86,55,18.33,28.31,0.83,0.97,0.66,0.55,7.05,173.6
34,134,7922,821786,36,12.0,14.8,19,6.33,5.13,59,19.67,28.04,0.72,0.82,0.45,0.42,7.58,168.21
35,130,4240,3176177,36,12.0,14.8,16,5.33,2.52,64,21.33,30.04,0.87,0.94,0.28,0.19,12.18,142.58
36,144,3560,778545,32,10.67,15.89,21,7.0,8.66,60,20.0,31.18,0.75,0.82,0.44,0.41,6.94,162.55
37,153,10340,3889347,40,10.0,12.11,22,5.5,3.42,64,16.0,24.06,0.78,0.89,0.38,0.34,5.08,172.68
38,150,21712,5234334,40,13.33,17.9,14,4.67,2.89,61,20.33,29.16,0.56,0.74,0.4,0.3,7.65,187.34
39,136,7549,1301272,36,12.0,14.73,19,6.33,4.93,57,19.0,26.85,0.73,0.88,0.5,0.47,5.1,176.81
40,164,7020,2452506,35,17.5,20.51,13,6.5,3.54,77,38.5,48.79,0.82,0.91,0.32,0.36,8.12,164.07
41,176,92541,46729047,34,11.33,13.58,16,5.33,3.21,64,21.33,30.89,0.67,0.67,0.39,0.43,5.62,155.91
42,148,95353,32411420,43,10.75,15.52,24,6.0,4.83,62,15.5,23.7,0.75,0.75,0.56,0.58,4.98,197.4
43,148,1555,331826,36,9.0,12.73,21,5.25,5.32,55,13.75,22.2,0.92,0.93,0.51,0.53,6.97,206.53
44,163,8732,2464792,27,9.0,12.12,13,4.33,4.04,56,18.67,28.87,0.88,0.94,0.4,0.34,7.34,158.91
45,144,745,124157,34,8.5,9.11,24,6.0,3.56,57,14.25,19.92,0.96,0.98,0.5,0.46,5.89,162.28
46,158,1756,358384,34,8.5,10.41,23,5.75,4.99,51,12.75,18.87,0.82,0.86,0.24,0.21,4.34,196.0
47,122,6181,6496875,24,8.0,11.27,12,4.0,4.36,35,11.67,17.62,0.99,1.0,0.3,0.23,4.3,189.09
48,144,10098,9909035,30,7.5,11.0,20,5.0,4.08,56,14.0,22.02,0.98,1.0,0.32,0.28,3.82,205.91
49,133,3763,770560,37,9.25,13.18,17,4.25,2.5,54,13.5,20.34,0.68,0.76,0.43,0.42,6.28,159.51
50,149,11901,2200836,34,11.33,14.47,17,5.67,4.73,63,21.0,31.19,0.72,0.85,0.49,0.4,9.74,194.57
51,126,42645,11688534,23,5.75,8.18,16,4.0,4.08,52,13.0,22.02,0.75,0.76,0.47,0.46,4.01,190.96
52,168,2877,1275217,42,10.5,15.67,22,5.5,4.36,81,20.25,33.84,0.84,0.85,0.45,0.4,5.16,207.92
53,151,17378,17643265,34,11.33,14.43,17,5.67,4.62,63,21.0,31.18,0.91,0.99,0.35,0.3,6.63,194.3
54,205,57935,28239526,44,22.0,26.87,16,8.0,7.07,100,50.0,66.47,0.64,0.78,0.41,0.31,12.96,166.83
55,149,8104,1260499,40,13.33,15.5,22,7.33,5.51,68,22.67,31.56,0.73,0.87,0.42,0.42,9.76,191.76
56,133,5080,1153369,31,15.5,16.26,13,6.5,3.54,50,25.0,26.87,0.3,0.46,0.42,0.32,13.74,156.71
57,153,12647,4101353,36,9.0,13.34,18,4.5,3.7,66,16.5,27.67,0.81,0.96,0.55,0.44,5.77,188.92
58,202,8160,2049145,48,12.0,18.02,22,5.5,3.79,91,22.75,38.18,0.82,0.89,0.55,0.51,4.93,191.74
59,158,5557,1051969,36,9.0,14.02,17,4.25,4.57,61,15.25,26.51,0.79,0.82,0.57,0.56,3.98,195.13
60,152,2526,1072531,41,10.25,12.69,23,5.75,4.11,64,16.0,24.1,0.91,0.98,0.58,0.56,7.32,202.04
61,118,5184,771026,27,9.0,8.66,20,6.67,2.89,44,14.67,16.74,0.73,0.86,0.37,0.35,10.42,178.53
62,138,48224,17337349,29,7.25,9.25,24,6.0,6.06,53,13.25,20.52,0.75,0.76,0.44,0.45,5.55,190.02
63,153,14981,1983339,34,8.5,10.47,19,4.75,2.99,56,14.0,20.77,0.77,0.83,0.54,0.52,6.61,179.98
64,170,9113,2208506,34,11.33,16.2,17,5.67,5.51,75,25.0,38.97,0.54,0.65,0.56,0.49,6.91,151.45
65,144,6013,789901,36,9.0,12.11,21,5.25,4.79,62,15.5,25.05,0.75,0.82,0.6,0.57,6.75,181.89
66,144,14231,2735353,37,12.33,16.29,19,6.33,6.11,67,22.33,33.55,0.87,0.94,0.36,0.31,8.04,195.07
67,161,15882,3599982,32,10.67,13.28,17,5.67,4.62,67,22.33,33.49,0.74,0.9,0.47,0.5,12.37,172.04
68,158,14988,12091666,33,11.0,13.0,16,5.33,3.21,63,21.0,30.32,0.71,0.82,0.4,0.35,6.44,176.88
69,128,2994,1303182,26,6.5,8.35,17,4.25,3.86,44,11.0,17.34,0.78,0.78,0.42,0.34,1.88,139.08
70,139,4876,572801,30,7.5,9.11,20,5.0,3.83,48,12.0,17.44,0.74,0.8,0.42,0.45,2.12,172.38
71,135,4993,959500,34,8.5,11.68,19,4.75,3.5,48,12.0,18.0,0.7,0.78,0.62,0.57,2.64,188.83
72,167,4437,1495055,48,16.0,17.35,23,7.67,2.52,77,25.67,33.23,0.78,0.81,0.33,0.26,3.95,172.47
73,155,5170,4141913,37,9.25,11.84,19,4.75,2.87,68,17.0,27.34,0.87,0.89,0.3,0.25,8.44,180.24
74,161,18318,2232372,47,11.75,13.79,27,6.75,4.5,77,19.25,28.64,0.76,0.81,0.56,0.53,15.62,170.68
75,167,14687,8983771,41,10.25,13.23,21,5.25,2.99,68,17.0,24.74,0.74,0.84,0.47,0.4,4.23,181.01
76,149,2757,1297091,36,12.0,14.93,18,6.0,5.0,56,18.67,26.39,0.87,0.98,0.47,0.34,5.97,184.71
77,172,22667,23684037,33,11.0,16.46,15,5.0,6.08,48,16.0,25.12,0.91,0.99,0.63,0.56,4.8,170.81
78,170,1324,588559,32,8.0,12.68,13,3.25,3.2,52,13.0,22.67,0.97,0.99,0.74,0.71,2.76,155.51
79,121,2410,274668,31,7.75,7.54,21,5.25,2.63,40,10.0,12.03,0.78,0.8,0.59,0.56,2.94,165.45
80,166,10999,11569895,38,9.5,12.4,20,5.0,2.94,67,16.75,25.59,1.0,1.0,0.27,0.22,3.38,184.97
81,149,2278,553746,27,9.0,13.0,12,4.0,4.36,42,14.0,21.66,0.79,0.9,0.77,0.71,4.29,156.63
82,118,360,99400,24,6.0,8.68,14,3.5,3.7,34,8.5,13.67,0.91,0.98,0.63,0.56,9.52,203.74
83,140,2738,241787,27,6.75,8.92,18,4.5,4.51,41,10.25,15.88,0.79,0.83,0.76,0.74,3.34,192.36
