id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,570,14479,8899866,105,8.08,9.06,108,8.31,8.15,316,24.31,62.54,0.93,0.91,0.44,0.42,11.94,199.1
1,501,18272,10669818,118,9.08,9.93,114,8.77,8.17,297,22.85,55.22,0.95,0.94,0.47,0.45,8.32,210.55
2,589,10177,4428106,110,9.17,8.09,129,10.75,10.27,315,26.25,63.59,0.92,0.91,0.4,0.4,10.21,192.21
3,555,161067,32825059,104,8.0,11.73,95,7.31,6.71,299,23.0,61.38,0.88,0.86,0.45,0.45,6.54,168.14
4,670,39234,41268785,114,10.36,10.92,98,8.91,6.73,326,29.64,70.23,0.85,0.83,0.39,0.39,9.69,185.27
5,551,7144,1941081,121,9.31,10.91,108,8.31,7.6,299,23.0,54.16,0.89,0.86,0.41,0.41,7.21,188.78
6,587,21613,19190386,110,10.0,13.73,88,8.0,7.38,297,27.0,65.26,0.89,0.89,0.47,0.46,11.31,192.95
7,573,23627,22054671,115,8.85,11.59,108,8.31,8.73,319,24.54,62.81,0.92,0.9,0.53,0.55,7.57,196.74
8,648,42077,37017902,130,10.0,12.08,116,8.92,7.24,332,25.54,63.19,0.88,0.81,0.38,0.41,6.35,190.06
9,640,30803,32547431,115,8.85,11.52,112,8.62,8.27,334,25.69,68.45,0.89,0.85,0.42,0.42,10.3,177.98
10,564,15335,8126442,115,8.85,11.45,106,8.15,6.96,330,25.38,66.12,0.94,0.92,0.48,0.5,7.68,194.3
11,901,30864,24658317,118,9.08,11.95,98,7.54,6.54,399,30.69,86.43,0.89,0.85,0.44,0.45,4.5,192.78
12,953,89620,89362630,126,9.69,15.31,103,7.92,8.61,460,35.38,102.85,0.85,0.84,0.52,0.56,5.34,180.27
13,924,65195,66553224,136,10.46,12.44,132,10.15,9.28,463,35.62,95.04,0.92,0.9,0.38,0.41,5.28,184.45
14,965,68679,59384059,128,10.67,15.36,124,10.33,8.28,478,39.83,109.74,0.94,0.93,0.36,0.4,6.1,179.04
15,1029,250597,308782676,114,8.77,13.61,105,8.08,8.69,466,35.85,105.07,0.92,0.91,0.49,0.54,6.33,193.19
16,1244,189574,224522752,130,10.0,14.67,111,8.54,7.86,588,45.23,137.39,0.95,0.93,0.52,0.55,4.43,186.66
17,1482,181380,189043064,151,10.79,18.78,143,10.21,12.53,619,44.21,137.18,0.93,0.92,0.42,0.48,4.82,187.88
18,1528,227485,246165642,160,11.43,20.31,159,11.36,14.19,681,48.64,153.09,0.93,0.9,0.47,0.49,5.4,181.12
19,1795,151901,109123523,161,12.38,23.74,165,12.69,19.63,786,60.46,190.73,0.88,0.86,0.46,0.48,3.19,190.29
20,2128,389120,432780790,165,11.79,23.52,149,10.64,14.06,835,59.64,196.79,0.91,0.9,0.44,0.45,5.03,177.1
21,3102,674101,676909108,171,13.15,28.63,163,12.54,19.01,1030,79.23,258.48,0.97,0.96,0.44,0.48,3.74,186.82
22,3222,1205547,1329005457,178,12.71,31.09,156,11.14,18.76,1152,82.29,284.41,0.96,0.96,0.41,0.45,7.22,187.69
23,3909,521808,559890902,169,12.07,27.46,149,10.64,15.85,1275,91.07,315.84,0.92,0.91,0.53,0.53,5.1,189.37
24,3723,422412,437345957,192,14.77,34.45,176,13.54,20.97,1312,100.92,332.27,0.92,0.91,0.39,0.41,13.62,172.31
25,3274,371815,254436762,232,21.09,50.48,205,18.64,29.67,1272,115.64,352.89,0.92,0.88,0.5,0.54,3.79,187.41
26,3180,500686,521213842,203,15.62,38.79,166,12.77,21.36,1231,94.69,312.81,0.93,0.9,0.53,0.57,14.66,185.61
27,2900,568829,628979162,229,19.08,51.45,201,16.75,31.82,1153,96.08,307.89,0.94,0.93,0.51,0.54,7.32,208.01
28,3212,179493,151976598,289,24.08,64.64,242,20.17,36.59,1355,112.92,358.71,0.86,0.85,0.49,0.52,8.28,176.06
29,3362,666553,700845499,257,19.77,52.16,205,15.77,27.94,1339,103.0,340.63,0.9,0.88,0.59,0.63,10.84,179.14
30,3421,480677,568906468,280,25.45,64.3,222,20.18,36.65,1357,123.36,377.81,0.94,0.92,0.45,0.51,7.83,184.09
31,2936,195637,181696608,228,17.54,48.87,168,12.92,24.58,1224,94.15,317.06,0.92,0.92,0.46,0.51,5.35,194.84
32,2823,251426,264461072,199,14.21,36.66,158,11.29,19.8,1148,82.0,283.33,0.96,0.95,0.46,0.54,4.62,196.11
33,2373,180471,181579101,144,11.08,26.33,112,8.62,14.53,974,74.92,248.97,0.9,0.91,0.53,0.56,4.69,190.42
34,2634,298153,304362957,166,15.09,36.57,121,11.0,15.72,1041,94.64,291.8,0.87,0.86,0.48,0.49,29.83,177.89
35,2838,260402,258332087,184,13.14,29.47,165,11.79,17.98,1084,77.43,259.19,0.91,0.86,0.46,0.48,4.22,199.73
36,2444,303518,323808102,151,11.62,26.45,143,11.0,16.98,986,75.85,248.12,0.94,0.93,0.53,0.57,5.35,194.11
37,2309,151209,119238980,137,12.45,26.86,144,13.09,19.81,880,80.0,241.65,0.92,0.92,0.51,0.53,9.87,171.0
38,2157,181117,169178996,150,12.5,26.82,130,10.83,17.5,863,71.92,225.13,0.94,0.93,0.56,0.59,19.13,198.73
39,2153,113153,77496421,169,12.07,27.03,144,10.29,16.13,881,62.93,209.81,0.92,0.88,0.47,0.48,4.64,194.15
40,2366,127782,92826947,157,13.08,28.55,126,10.5,14.85,981,81.75,258.49,0.91,0.86,0.48,0.45,21.54,172.75
41,2910,595220,622525138,178,14.83,34.24,156,13.0,19.63,1137,94.75,298.51,0.93,0.92,0.5,0.54,8.48,181.61
42,2407,155541,138712276,151,12.58,26.46,126,10.5,13.62,930,77.5,245.26,0.96,0.95,0.41,0.46,9.7,177.02
43,2509,263746,269983240,184,14.15,28.12,146,11.23,15.12,1020,78.46,251.56,0.91,0.9,0.41,0.47,7.03,185.88
44,2543,453059,499503372,167,12.85,31.37,116,8.92,13.46,958,73.69,245.95,0.9,0.9,0.45,0.51,6.19,205.13
45,2377,228886,231982371,180,13.85,29.68,149,11.46,14.99,976,75.08,242.03,0.92,0.9,0.45,0.49,12.1,198.26
46,2548,397725,430324022,175,13.46,33.76,129,9.92,15.94,1067,82.08,273.56,0.92,0.9,0.66,0.69,7.24,194.74
47,2726,361503,348537007,181,13.92,31.73,147,11.31,15.2,1128,86.77,283.91,0.86,0.88,0.44,0.46,7.07,200.55
48,2552,183329,159059575,191,17.36,38.16,156,14.18,20.93,1007,91.55,276.87,0.87,0.81,0.47,0.5,6.83,176.49
49,2380,259659,283140051,161,14.64,34.15,143,13.0,21.03,986,89.64,273.93,0.88,0.88,0.48,0.51,26.48,192.35
50,2365,260833,253432096,161,12.38,30.14,116,8.92,14.34,1014,78.0,260.06,0.87,0.85,0.5,0.48,11.31,172.03
51,2369,345350,307103915,173,12.36,29.43,144,10.29,15.57,941,67.21,227.76,0.92,0.92,0.45,0.48,7.05,165.97
