id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,195,12931,5052860,58,14.5,13.92,51,12.75,12.04,123,30.75,36.4,0.72,0.72,0.62,0.59,35.3,140.65
1,266,2958,546061,71,17.75,19.6,60,15.0,14.85,146,36.5,49.51,0.68,0.7,0.4,0.38,14.74,152.71
2,192,3890,752093,65,16.25,17.54,48,12.0,12.73,127,31.75,37.62,0.56,0.61,0.38,0.32,36.49,130.42
3,249,3347,706825,69,17.25,14.73,56,14.0,11.17,153,38.25,41.31,0.72,0.74,0.38,0.32,13.0,130.97
4,257,8970,4480393,65,16.25,16.13,79,19.75,24.02,153,38.25,41.26,0.77,0.75,0.57,0.48,21.95,132.4
5,372,136838,85779083,73,18.25,18.39,60,15.0,15.34,201,50.25,66.37,0.58,0.59,0.59,0.42,52.3,129.14
6,338,38260,35490501,91,30.33,27.01,60,20.0,17.52,223,74.33,79.48,1.0,1.0,0.48,0.39,28.51,108.71
7,326,5224,1571594,82,20.5,19.84,55,13.75,10.97,201,50.25,66.67,0.66,0.58,0.55,0.49,23.33,136.89
8,401,10067,4569228,87,29.0,27.62,56,18.67,10.5,249,83.0,98.93,0.75,0.7,0.39,0.28,10.48,139.77
9,259,36527,31197281,76,25.33,23.18,58,19.33,12.22,176,58.67,57.42,0.76,0.77,0.46,0.46,14.58,117.71
10,300,16318,6883865,82,27.33,23.54,64,21.33,17.5,180,60.0,55.65,0.7,0.73,0.38,0.25,22.72,129.83
11,370,8433,3297259,72,18.0,19.49,46,11.5,11.27,209,52.25,76.54,0.7,0.72,0.36,0.22,36.73,127.82
12,595,18749,6009120,107,26.75,32.84,66,16.5,16.82,313,78.25,119.61,0.84,0.86,0.56,0.36,37.66,127.24
13,580,68190,44488439,95,23.75,30.51,92,23.0,33.58,305,76.25,119.61,0.49,0.5,0.25,0.11,10.41,123.88
14,648,40198,12603994,118,29.5,35.69,64,16.0,14.31,406,101.5,162.51,0.74,0.72,0.5,0.37,20.68,107.32
15,749,27098,17233761,124,31.0,41.04,70,17.5,20.89,443,110.75,163.77,0.82,0.84,0.54,0.4,40.64,135.05
16,821,100276,96086207,131,65.5,36.06,41,20.5,9.19,478,239.0,219.2,0.9,0.94,0.39,0.1,25.02,101.02
17,834,56339,49861149,98,49.0,41.01,46,23.0,5.66,492,246.0,260.22,0.92,0.88,0.34,0.28,20.6,107.32
18,870,114122,128624796,113,28.25,36.8,51,12.75,11.47,433,108.25,178.04,0.7,0.68,0.2,0.1,26.89,122.49
19,1033,63837,54956174,111,27.75,38.74,46,11.5,10.88,486,121.5,194.89,0.8,0.8,0.32,0.18,19.88,123.85
