id_time,n_flows,n_packets,n_bytes,sum_n_dest_asn,average_n_dest_asn,std_n_dest_asn,sum_n_dest_ports,average_n_dest_ports,std_n_dest_ports,sum_n_dest_ip,average_n_dest_ip,std_n_dest_ip,tcp_udp_ratio_packets,tcp_udp_ratio_bytes,dir_ratio_packets,dir_ratio_bytes,avg_duration,avg_ttl
0,301,2943,938636,90,8.18,7.83,141,12.82,15.85,183,16.64,30.12,0.82,0.77,0.39,0.38,7.74,168.3
1,303,9746,1209035,99,7.62,9.04,127,9.77,11.92,201,15.46,31.29,0.84,0.83,0.4,0.42,9.58,186.99
2,249,2676,927925,79,6.58,6.19,110,9.17,9.64,158,13.17,23.74,0.84,0.8,0.51,0.49,8.98,171.58
3,252,2788,1160302,85,7.08,9.21,111,9.25,10.39,160,13.33,25.53,0.84,0.81,0.37,0.33,11.87,191.28
4,299,3803,1147424,97,8.82,10.88,106,9.64,9.32,217,19.73,39.45,0.84,0.86,0.37,0.36,10.7,166.19
5,287,3396,1134448,80,7.27,7.47,108,9.82,10.1,185,16.82,33.04,0.82,0.79,0.42,0.34,17.62,174.01
6,302,4268,1438970,109,9.91,8.78,125,11.36,10.3,205,18.64,33.12,0.85,0.85,0.48,0.45,12.9,180.48
7,390,9232,3913566,134,10.31,11.07,127,9.77,7.92,276,21.23,38.22,0.89,0.9,0.45,0.49,23.3,166.62
8,292,4069,1434223,86,8.6,9.42,104,10.4,11.38,195,19.5,35.8,0.83,0.81,0.34,0.37,11.34,165.04
9,296,3771,1024711,94,8.55,9.89,97,8.82,8.86,197,17.91,35.81,0.89,0.9,0.41,0.43,5.9,157.5
10,301,322013,52778694,99,8.25,10.14,108,9.0,9.45,203,16.92,37.24,0.8,0.76,0.4,0.39,7.84,170.38
11,328,6903,1688583,95,7.92,8.21,123,10.25,10.12,217,18.08,37.07,0.83,0.84,0.51,0.53,18.85,176.24
12,265,7066,4155692,87,7.91,10.28,90,8.18,9.2,181,16.45,35.27,0.89,0.89,0.31,0.3,9.49,149.59
13,281,27935,36552652,89,7.42,7.98,100,8.33,10.74,199,16.58,34.59,0.82,0.77,0.38,0.4,9.48,165.87
14,339,8562,6417180,98,8.17,9.43,100,8.33,9.44,246,20.5,44.53,0.85,0.84,0.4,0.41,8.08,173.95
15,544,27571,18669199,113,8.69,12.46,103,7.92,8.89,348,26.77,66.0,0.76,0.78,0.51,0.51,19.19,182.44
16,1205,46051,38760515,135,11.25,20.79,100,8.33,9.95,604,50.33,148.84,0.91,0.9,0.39,0.41,5.13,168.67
17,1609,208763,224389242,154,14.0,23.1,100,9.09,8.12,714,64.91,169.0,0.95,0.93,0.48,0.48,4.69,175.32
18,1735,131941,123810131,168,16.8,29.62,89,8.9,9.85,845,84.5,209.21,0.92,0.91,0.45,0.4,5.46,185.96
19,2028,147991,137764655,175,14.58,27.55,98,8.17,8.62,924,77.0,223.92,0.86,0.84,0.54,0.54,26.66,164.48
20,1721,117108,101704776,161,13.42,25.5,90,7.5,8.68,830,69.17,199.04,0.96,0.94,0.43,0.43,14.98,166.1
21,2003,272533,278889664,169,14.08,26.47,103,8.58,9.57,932,77.67,218.5,0.87,0.88,0.47,0.49,13.33,177.37
22,1990,171616,127954192,187,15.58,29.65,113,9.42,10.04,1017,84.75,235.07,0.88,0.88,0.35,0.34,20.39,179.72
