timestamp,value,label,anomaly_type
2024-01-01 00:00:00,50.001476,0,
2024-01-01 00:05:00,50.358495,0,
2024-01-01 00:10:00,49.671035,0,
2024-01-01 00:15:00,48.931290,0,
2024-01-01 00:20:00,49.454395,0,
2024-01-01 00:25:00,48.810024,0,
2024-01-01 00:30:00,50.072172,0,
2024-01-01 00:35:00,51.608258,0,
2024-01-01 00:40:00,49.409352,0,
2024-01-01 00:45:00,49.255430,0,
2024-01-01 00:50:00,50.587810,0,
2024-01-01 00:55:00,50.428264,0,
2024-01-01 01:00:00,50.126497,0,
2024-01-01 01:05:00,48.883438,0,
2024-01-01 01:10:00,49.964898,0,
2024-01-01 01:15:00,50.834364,0,
2024-01-01 01:20:00,48.386943,0,
2024-01-01 01:25:00,49.450861,0,
2024-01-01 01:30:00,47.718533,0,
2024-01-01 01:35:00,48.452555,0,
2024-01-01 01:40:00,47.789918,0,
2024-01-01 01:45:00,49.717891,0,
2024-01-01 01:50:00,48.479064,0,
2024-01-01 01:55:00,50.325517,0,
2024-01-01 02:00:00,50.188101,0,
2024-01-01 02:05:00,49.775683,0,
2024-01-01 02:10:00,46.979888,0,
2024-01-01 02:15:00,49.353569,0,
2024-01-01 02:20:00,49.941799,0,
2024-01-01 02:25:00,50.135971,0,
2024-01-01 02:30:00,48.163837,0,
2024-01-01 02:35:00,49.426696,0,
2024-01-01 02:40:00,48.825777,0,
2024-01-01 02:45:00,49.029395,0,
2024-01-01 02:50:00,51.273078,0,
2024-01-01 02:55:00,49.030958,0,
2024-01-01 03:00:00,49.960974,0,
2024-01-01 03:05:00,51.061268,0,
2024-01-01 03:10:00,49.299679,0,
2024-01-01 03:15:00,49.865958,0,
2024-01-01 03:20:00,50.132557,0,
2024-01-01 03:25:00,50.076538,0,
2024-01-01 03:30:00,48.529933,0,
2024-01-01 03:35:00,50.091368,0,
2024-01-01 03:40:00,51.630588,0,
2024-01-01 03:45:00,48.143426,0,
2024-01-01 03:50:00,51.031259,0,
2024-01-01 03:55:00,50.143225,0,
2024-01-01 04:00:00,49.230236,0,
2024-01-01 04:05:00,52.400500,0,
2024-01-01 04:10:00,50.914712,0,
2024-01-01 04:15:00,48.560853,0,
2024-01-01 04:20:00,50.089419,0,
2024-01-01 04:25:00,50.692028,0,
2024-01-01 04:30:00,49.773461,0,
2024-01-01 04:35:00,50.819492,0,
2024-01-01 04:40:00,49.920179,0,
2024-01-01 04:45:00,50.800697,0,
2024-01-01 04:50:00,51.726227,0,
2024-01-01 04:55:00,49.189205,0,
2024-01-01 05:00:00,50.243766,0,
2024-01-01 05:05:00,49.444031,0,
2024-01-01 05:10:00,50.152722,0,
2024-01-01 05:15:00,48.575367,0,
2024-01-01 05:20:00,49.304838,0,
2024-01-01 05:25:00,49.764565,0,
2024-01-01 05:30:00,51.078517,0,
2024-01-01 05:35:00,51.374266,0,
2024-01-01 05:40:00,48.411767,0,
2024-01-01 05:45:00,49.046429,0,
2024-01-01 05:50:00,50.776284,0,
2024-01-01 05:55:00,47.609096,0,
2024-01-01 06:00:00,49.444196,0,
2024-01-01 06:05:00,49.883256,0,
2024-01-01 06:10:00,51.508418,0,
2024-01-01 06:15:00,50.827285,0,
2024-01-01 06:20:00,49.607344,0,
2024-01-01 06:25:00,49.557709,0,
2024-01-01 06:30:00,49.699766,0,
